Country,Year,Status,Life.expectancy,GDP
Afghanistan,2015,Developing,65,584.25921
Albania,2015,Developing,77.8,3954.22783
Algeria,2015,Developing,75.6,4132.76292
Angola,2015,Developing,52.4,3695.793748
Antigua and Barbuda,2015,Developing,76.4,13566.9541
Argentina,2015,Developing,76.3,13467.1236
Armenia,2015,Developing,74.8,369.654776
Australia,2015,Developed,82.8,56554.3876
Austria,2015,Developed,81.5,43665.947
Azerbaijan,2015,Developing,72.7,55.31382
Bahamas,2015,Developing,76.1,NA
Bahrain,2015,Developing,76.9,22688.87824
Bangladesh,2015,Developing,71.8,121.15812
Barbados,2015,Developing,75.5,15557.8381
Belarus,2015,Developing,72.3,5949.11677
Belgium,2015,Developed,81.1,4356.875
Belize,2015,Developing,71,4849.997495
Benin,2015,Developing,60,783.94791
Bhutan,2015,Developing,69.8,2613.645177
Bolivia (Plurinational State of),2015,Developing,77,NA
Bosnia and Herzegovina,2015,Developing,77.4,4574.9787
Botswana,2015,Developing,65.7,6532.651
Brazil,2015,Developing,75,8757.2622
Brunei Darussalam,2015,Developing,77.7,3967.8951
Bulgaria,2015,Developed,74.5,6993.47736
Burkina Faso,2015,Developing,59.9,615.592225
Burundi,2015,Developing,59.6,33.681223
C̫te d'Ivoire,2015,Developing,53.3,NA
Cabo Verde,2015,Developing,73.3,2954.119467
Cambodia,2015,Developing,68.7,1163.18977
Cameroon,2015,Developing,57.3,1244.429421
Canada,2015,Developing,82.2,43315.744
Central African Republic,2015,Developing,52.5,348.381417
Chad,2015,Developing,53.1,777.248751
Chile,2015,Developing,85,13653.2264
China,2015,Developing,76.1,869.211938
Colombia,2015,Developing,74.8,644.525556
Comoros,2015,Developing,63.5,727.6463868
Congo,2015,Developing,64.7,NA
Costa Rica,2015,Developing,79.6,1146.36273
Croatia,2015,Developed,78,11579.6674
Cuba,2015,Developing,79.1,762.261218
Cyprus,2015,Developed,85,2375.1127
Czechia,2015,Developed,78.8,NA
Democratic People's Republic of Korea,2015,Developing,76,NA
Democratic Republic of the Congo,2015,Developing,59.8,NA
Denmark,2015,Developed,86,5314.64416
Djibouti,2015,Developing,63.5,1862.167274
Dominican Republic,2015,Developing,73.9,6468.471648
Ecuador,2015,Developing,76.2,625.62224
Egypt,2015,Developing,79,NA
El Salvador,2015,Developing,73.5,4127.11775
Equatorial Guinea,2015,Developing,58.2,1347.31257
Eritrea,2015,Developing,64.7,NA
Estonia,2015,Developing,77.6,1774.9291
