A,T,S,C,P,E,Y
0,0,1.75,13.4,0.274,0,2.55
1,3,4.1,3.9,0.198,0,1.83
0,4,2.35,5.3,0.526,1,1.8
1,6,4.25,7.1,0.25,1,0.89
0,9,1.6,6.9,0.018,0,1.28
0,25,3.35,4.9,0.194,1,1.51
0,27,2.85,12.1,0.751,1,1.84
1,28,2.2,5.2,0.084,1,1.62
1,29,4.4,4.1,0.236,1,1.01
1,32,3.1,2.8,0.214,1,1.39
0,33,3.95,6.8,0.796,1,1.74
1,35,2.9,3,0.124,1,1.57
1,38,2.05,7,0.144,1,2.47
0,39,4,11.3,0.398,1,1.49
0,53,3.35,4.2,0.237,0,1.29
0,56,3.8,2.2,0.23,1,0.14
1,59,3.4,6.5,0.142,0,1.69
1,65,3.15,3.1,0.073,1,0.7
0,68,3.15,2.6,0.136,1,-0.19
1,82,4.01,8.3,0.123,1,0.08
